idade,tempo_cliente_meses,gasto_mensal,reclamacoes,uso_suporte,churn
42,57,67.6,1,1,0
67,54,124.67,1,2,0
40,20,137.02,1,1,0
48,28,82.06,0,4,0
47,57,139.19,1,3,0
59,43,75.28,1,4,0
52,37,145.69,0,0,0
24,47,40.71,0,4,0
33,37,112.44,0,1,0
43,12,89.26,1,2,0
65,37,76.52,1,3,0
69,49,105.93,0,4,0
66,49,114.46,1,4,0
19,56,30.52,1,2,0
18,44,50.03,2,3,0
65,56,115.57,1,4,1
29,28,109.97,0,4,0
22,47,145.93,0,1,0
54,15,121.32,1,1,0
49,6,144.09,1,0,1
26,44,114.3,0,2,0
58,59,65.77,4,3,1
52,20,42.64,0,4,0
36,50,123.82,1,4,0
65,14,107.3,2,0,1
33,2,35.78,0,4,0
20,9,73.21,2,2,1
37,37,144.82,0,0,0
41,20,90.05,3,2,1
50,26,81.93,0,0,0
41,29,84.92,2,4,0
69,1,55.07,3,0,1
28,55,74.24,2,1,1
66,35,74.38,0,3,0
25,6,36.28,1,4,0
53,37,122.11,1,3,0
55,53,79.98,0,4,0
57,59,128.66,1,3,0
37,5,132.04,2,1,1
52,33,55.44,0,3,0
65,49,108.88,1,0,0
42,51,86.67,0,3,0
52,14,135.62,3,4,1
42,12,55.89,2,2,0
46,42,111.34,1,3,0
35,20,102.93,1,3,0
63,53,65.44,0,3,0
35,50,46.39,0,4,0
19,24,108.2,0,3,0
52,59,118.63,1,4,0
33,43,67.88,2,4,0
58,34,107.38,0,2,0
53,25,77.42,2,0,0
50,50,115.58,3,4,1
21,29,53.91,1,1,0
50,57,136.83,1,3,0
31,39,64.49,0,1,0
38,31,74.13,2,3,1
65,56,36.97,2,2,0
37,47,43.38,1,4,0
25,43,91.9,2,0,1
24,50,62.11,1,4,0
20,23,130.26,2,3,1
34,44,31.76,0,0,0
50,38,75.49,0,4,0
65,20,70.48,0,0,0
29,23,32.32,0,3,0
68,45,44.92,2,2,0
39,52,79.64,2,2,0
39,16,89.14,2,4,0
63,50,78.51,0,1,0
47,42,93.71,1,3,0
55,55,101.42,0,4,1
55,8,31.19,1,4,1
62,50,85.69,1,2,0
68,21,145.62,1,0,0
25,1,92.28,4,3,1
44,55,111.31,0,0,0
44,8,67.42,2,3,1
51,29,122.88,1,1,0
38,32,122.75,0,2,0
47,38,92.56,1,1,0
50,5,147.12,1,4,1
45,47,45.07,0,2,0
64,22,32.03,1,4,0
50,47,122.42,1,1,0
22,34,126.86,1,3,0
65,1,44.42,3,4,1
36,55,61.87,1,0,0
21,55,32.11,1,3,0
52,26,65.2,1,3,0
66,43,122.78,2,1,1
34,10,92.16,0,1,1
61,30,71.77,2,2,1
45,50,74.61,0,2,0
47,18,30.16,1,0,0
46,17,65.98,0,3,0
63,26,107.58,0,0,0
23,8,146.9,1,0,0
52,47,131.65,0,1,0
58,40,32.83,2,0,0
54,49,137.83,1,0,0
41,12,123.98,0,4,0
46,27,123.65,0,2,0
66,8,84.96,1,2,0
63,25,77.76,0,3,0
48,46,66.35,2,2,1
52,4,37.88,1,3,0
50,33,57.39,1,4,0
69,1,59.59,1,2,0
38,19,88.09,0,4,0
49,31,119.69,0,2,1
40,16,86.86,0,2,0
50,14,36.94,0,4,0
20,53,144.93,5,0,0
35,48,143.13,0,0,0
42,5,124.22,1,0,1
59,41,148.96,1,0,0
48,26,95.34,0,2,0
20,28,145.53,0,1,0
57,2,39.07,1,4,0
63,50,73.88,2,1,0
41,6,57.05,1,1,1
67,9,53.5,0,3,0
49,33,46.9,2,0,1
64,41,104.69,0,2,0
39,25,123.76,0,0,0
40,48,99.4,1,0,0
19,13,47.64,1,1,0
44,9,127.33,2,3,1
59,53,106.31,0,0,0
19,13,76.58,2,4,1
43,31,110.9,3,4,0
34,41,61.19,0,0,0
57,11,71.42,0,1,0
50,4,140.1,0,1,1
26,34,64.86,3,2,0
60,38,86.4,0,3,0
65,46,136.82,1,1,1
56,4,114.93,0,2,0
46,38,37.46,1,4,0
59,19,47.68,0,4,0
43,6,30.94,1,4,0
52,34,105.71,1,0,1
67,18,83.72,0,3,0
42,13,46.11,0,2,0
41,41,144.95,1,3,0
30,23,93.56,1,0,0
24,19,59.03,0,2,0
53,45,90.07,1,2,0
62,11,111.55,1,1,1
37,1,39.15,2,3,1
18,24,62.96,1,3,0
25,54,126.84,4,1,1
63,7,85.16,1,4,0
33,25,95.59,0,0,0
31,21,81.94,3,3,1
29,15,35.27,2,1,0
68,1,49.89,1,2,0
40,12,83.46,0,1,0
32,58,55.1,4,4,0
45,7,36.0,1,0,1
51,15,131.24,1,4,0
19,21,147.74,1,2,0
49,19,125.18,0,2,0
40,29,132.45,1,2,0
39,25,59.04,1,2,0
68,33,145.28,1,1,0
42,49,53.63,0,2,0
39,32,144.17,0,2,0
39,49,149.38,1,1,0
66,35,115.41,0,2,1
69,44,147.74,1,4,0
59,38,98.34,2,4,0
23,26,61.15,2,3,1
32,11,82.44,1,4,0
60,35,101.23,1,0,1
54,8,38.77,2,0,1
50,46,104.68,1,0,0
25,14,147.74,1,1,0
61,10,52.81,3,4,1
61,2,125.11,2,0,1
22,46,138.95,2,3,0
56,9,143.24,0,1,0
21,3,145.22,2,3,1
23,21,92.58,1,4,0
62,26,147.28,1,2,1
49,8,120.88,2,3,1
69,48,49.4,2,2,1
47,2,87.23,2,1,1
64,6,116.2,0,3,1
52,28,59.68,0,3,0
57,53,106.87,0,1,0
69,29,109.99,2,1,1
33,26,49.52,0,0,0
30,25,97.81,0,4,0
67,12,122.6,1,3,0
59,5,89.87,2,3,1
47,34,31.45,2,1,0
36,48,31.08,1,1,0
34,37,72.84,0,4,0
36,15,141.14,1,1,0
45,44,57.44,0,2,0
43,36,106.12,0,2,0
54,15,56.65,0,2,0
43,43,68.6,1,2,0
40,48,131.77,1,4,1
26,23,117.46,1,3,0
29,6,41.45,1,2,0
18,46,81.44,2,1,1
18,50,33.5,1,2,0
64,44,87.71,1,4,0
51,59,109.49,1,1,0
49,43,44.22,3,2,0
65,45,64.67,1,3,0
42,21,77.74,1,1,0
57,23,140.34,1,1,0
62,43,149.19,0,3,1
18,55,35.39,2,1,1
33,16,121.32,1,2,0
56,47,74.61,0,1,0
22,53,77.09,1,2,0
39,15,120.51,0,3,0
46,25,140.21,0,0,0
20,36,144.11,0,3,0
29,11,99.25,0,2,0
43,51,72.85,2,4,1
33,15,124.51,2,3,1
68,4,60.12,2,4,1
54,21,97.69,0,4,0
39,13,73.03,2,2,0
46,22,108.8,0,2,0
31,19,58.85,1,0,0
45,34,52.99,2,1,0
22,14,140.19,1,3,0
64,4,42.22,1,2,0
66,48,90.71,3,3,0
47,53,56.5,0,4,1
63,52,34.67,2,1,0
69,46,34.32,2,0,0
22,27,51.03,1,3,0
29,29,134.01,1,1,0
33,47,63.9,1,0,0
43,28,144.06,2,3,1
43,35,99.79,0,1,0
65,8,82.39,1,2,0
38,16,99.61,0,3,0
56,42,92.0,1,1,0
53,36,121.05,0,0,0
50,30,63.9,1,1,1
47,18,72.37,2,2,1
54,2,137.29,1,3,1
40,49,143.57,2,3,0
27,13,137.11,1,3,0
22,4,80.33,0,2,0
53,26,123.64,1,0,0
51,25,87.16,1,3,0
69,30,89.7,2,0,0
48,11,54.56,0,1,0
27,7,100.94,3,0,1
36,31,52.34,1,0,0
49,44,69.79,0,3,0
18,10,132.6,1,4,1
22,39,54.85,0,4,0
62,13,38.54,1,2,0
21,31,38.28,0,2,0
33,7,142.89,1,4,0
41,56,90.83,0,1,0
33,49,79.13,0,3,0
19,42,127.31,2,3,1
66,42,130.3,2,1,1
45,56,69.86,2,1,0
49,36,113.23,0,4,0
44,20,122.53,1,2,0
37,4,108.56,2,1,1
41,54,48.19,1,2,0
29,7,135.11,2,0,1
67,54,94.69,0,3,0
52,1,63.9,1,4,1
50,44,81.03,0,3,0
50,56,34.51,0,4,0
68,45,45.34,1,0,0
60,42,121.87,0,3,0
54,47,30.0,0,0,0
29,59,79.99,0,4,0
20,13,92.7,0,1,0
18,55,36.56,1,3,0
50,22,146.77,0,0,1
57,54,57.14,0,3,0
27,21,66.5,2,3,0
60,22,66.47,1,3,0
61,28,57.65,0,2,0
46,9,30.18,0,0,0
30,26,117.52,0,0,0
29,9,146.02,2,3,1
48,15,56.92,1,1,0
63,10,109.57,1,3,1
19,24,119.03,0,2,0
68,58,131.81,1,4,0
67,57,80.72,1,2,0
52,42,66.35,2,1,0
40,8,69.04,1,3,1
34,24,115.51,1,0,0
43,16,128.01,2,3,0
25,49,51.79,3,1,0
46,26,74.51,2,0,0
43,27,138.23,1,2,1
27,37,126.8,2,4,0
43,4,148.18,1,4,1
51,50,120.51,0,3,0
68,24,77.18,0,2,0
58,19,100.88,1,1,0
24,36,109.32,0,4,0
21,39,39.41,1,2,0
67,10,95.34,0,3,0
62,25,115.12,1,0,0
28,18,50.08,3,3,1
46,19,123.68,3,3,0
53,36,100.05,2,2,0
42,10,144.27,1,4,1
38,33,35.09,1,2,0
53,55,61.84,1,0,0
27,50,102.19,1,2,0
54,5,65.59,1,1,0
26,47,115.73,2,3,0
41,49,121.08,0,4,0
52,35,42.3,0,0,0
66,44,91.66,2,3,0
52,34,91.07,0,2,0
65,33,74.31,3,1,0
53,55,141.95,0,2,0
35,21,129.3,0,3,0
66,17,113.67,0,0,0
56,22,115.72,0,4,0
49,48,85.41,0,3,0
41,37,140.52,0,0,0
40,15,113.35,1,3,1
49,35,117.48,2,1,1
54,28,133.4,0,2,0
29,7,62.89,1,4,0
66,32,126.85,1,0,0
30,11,53.43,1,4,1
40,10,71.44,0,4,1
42,9,70.27,1,4,0
52,14,147.42,5,0,1
58,13,132.78,2,0,0
47,57,114.14,0,4,0
34,25,117.25,3,2,0
66,2,97.45,0,3,0
37,35,143.65,0,4,0
65,7,89.55,2,1,1
42,21,75.66,0,4,0
39,18,49.56,1,0,0
30,3,124.34,2,3,1
36,42,118.13,1,1,1
66,54,76.12,1,3,0
53,39,33.02,1,3,0
29,41,130.68,2,1,1
58,49,31.37,0,4,0
36,11,114.44,0,4,1
29,39,146.43,0,4,0
26,24,82.52,1,2,0
24,46,58.2,3,4,1
45,19,114.58,1,1,0
31,4,128.06,2,2,1
48,26,95.57,1,4,0
69,38,146.04,1,2,1
36,42,36.2,1,1,0
64,32,90.58,0,4,0
33,39,116.21,3,0,1
22,45,133.52,2,1,0
52,46,51.51,1,3,0
29,36,126.0,2,3,0
42,40,96.32,0,1,1
69,37,77.59,0,3,0
38,33,45.81,0,1,0
53,36,133.84,2,0,1
40,3,48.87,0,1,1
33,9,67.17,2,4,0
56,8,64.81,0,4,1
62,33,134.57,1,2,0
59,59,110.72,0,3,0
56,6,125.6,2,3,1
31,41,60.06,2,1,1
48,39,104.98,0,3,0
22,4,98.61,0,4,1
52,13,129.94,0,0,0
40,49,138.73,3,1,1
46,2,31.46,0,3,0
60,5,110.88,0,4,0
28,44,36.22,2,2,1
35,27,95.86,3,3,1
64,32,64.52,2,0,1
29,21,66.81,1,0,0
26,8,72.36,1,3,1
27,38,104.56,1,3,1
61,8,70.09,1,4,0
34,50,117.92,0,3,1
55,3,78.54,2,2,1
24,54,38.2,0,4,0
63,44,124.05,2,1,1
30,58,64.29,0,2,0
57,3,81.93,1,4,0
59,22,112.25,0,4,0
26,6,69.89,2,0,1
67,2,36.79,0,4,0
44,23,74.87,1,2,0
19,44,143.33,1,3,0
22,2,107.01,0,2,1
46,38,110.58,0,1,0
54,17,105.87,1,4,0
55,35,53.88,1,4,0
36,34,80.2,1,4,0
25,23,120.11,2,4,0
65,30,42.16,3,0,1
62,52,63.34,0,0,0
18,8,63.16,0,3,0
39,22,81.84,0,4,0
69,44,147.64,0,1,0
34,58,38.1,0,3,0
24,36,92.24,0,4,0
42,5,51.52,1,0,0
62,13,146.48,0,1,0
21,29,43.6,0,3,0
53,31,78.43,1,1,0
23,47,118.55,0,4,0
48,57,114.55,0,2,0
36,55,80.73,2,1,0
61,16,71.58,1,1,0
56,42,77.71,2,0,1
44,30,61.71,0,4,0
27,57,54.64,0,1,0
43,55,87.96,2,4,1
36,16,62.22,2,0,0
56,12,64.5,4,4,1
20,17,108.81,0,0,0
62,16,146.22,1,0,0
30,12,102.44,2,3,0
67,8,39.24,1,4,0
45,20,39.07,1,2,0
37,3,144.17,3,3,1
45,16,65.67,2,0,0
25,30,41.05,0,2,0
58,45,101.89,0,1,0
56,23,104.84,3,1,1
18,28,107.82,1,3,0
20,51,62.09,1,2,0
30,40,31.81,0,4,0
45,54,145.8,1,2,0
66,5,60.11,1,3,1
42,20,111.12,1,4,0
50,40,114.8,0,4,0
55,56,103.2,1,1,1
23,44,67.55,2,2,0
61,1,62.53,0,4,1
62,57,101.72,3,3,1
49,30,133.93,1,1,0
62,21,143.61,2,4,1
64,20,42.71,0,2,0
38,6,48.58,0,1,0
33,22,143.37,0,2,0
38,18,118.38,1,2,1
28,8,135.96,0,2,1
54,39,54.32,0,1,0
53,32,100.51,2,4,0
52,33,114.14,0,0,0
36,53,111.61,2,4,1
37,16,78.98,0,1,0
35,12,31.85,0,0,0
64,38,99.95,0,0,0
58,52,60.37,2,0,0
66,34,84.03,2,3,0
31,14,144.91,1,1,0
32,36,77.88,0,3,0
48,33,130.78,1,0,0
18,23,52.62,0,3,0
20,50,110.7,2,3,0
33,45,147.24,1,1,0
40,2,42.23,3,2,1
28,41,31.0,2,3,0
29,21,82.03,0,3,0
27,2,41.12,0,0,1
49,27,119.81,0,0,0
33,57,139.75,1,0,0
25,9,82.08,0,4,0
55,1,61.05,1,3,1
29,11,82.13,1,0,0
41,3,116.81,3,1,1
45,52,31.09,1,4,0
25,23,100.73,0,2,0
45,26,103.6,0,3,0
53,4,106.52,1,3,1
43,18,59.04,1,1,0
25,55,115.69,1,2,0
67,6,40.97,1,2,0
45,35,53.91,0,4,0
45,22,135.3,2,3,0
54,43,118.65,0,0,1
58,15,31.65,2,1,0
53,22,59.81,0,1,0
44,37,55.73,2,1,1
34,52,62.5,1,1,0
26,42,59.71,1,0,0
50,12,37.5,2,0,0
37,47,85.07,3,4,0
30,49,117.93,2,3,1
45,42,102.81,0,0,0
65,38,110.74,1,4,0
46,18,39.74,1,2,0
30,45,144.18,2,3,1
63,35,130.62,1,0,0
52,30,126.61,1,2,0
23,24,128.76,1,4,0
35,42,141.93,1,0,0
68,30,95.31,0,0,0
22,14,54.03,2,2,0
64,6,104.01,1,0,1
42,3,119.15,0,1,1
19,16,118.55,2,0,1
27,7,92.57,1,3,1
47,52,38.22,1,2,0
67,14,74.53,1,3,0
62,9,140.49,3,4,1
22,15,100.13,1,3,0
50,21,94.6,0,1,0
18,35,62.26,0,1,0
35,2,74.21,2,3,1
49,27,137.44,1,4,1
64,2,109.98,0,0,1
66,35,124.49,0,1,0
28,18,84.52,1,3,0
38,14,105.63,0,3,1
43,20,59.81,2,3,0
42,18,114.66,0,0,0
39,10,81.31,0,2,0
44,25,83.11,2,4,1
66,2,107.92,0,2,0
30,25,142.35,2,4,1
50,54,37.68,1,4,0
51,33,128.97,1,3,0
58,36,65.09,1,1,0
52,31,83.27,2,3,0
18,14,32.63,3,0,0
38,1,66.13,3,4,1
65,46,90.32,2,1,0
23,16,36.74,1,4,0
45,54,88.93,0,4,0
34,46,141.25,1,3,0
22,52,42.65,1,1,0
48,3,121.73,1,1,1
22,35,79.16,0,4,0
55,41,108.62,0,1,0
20,6,61.23,2,1,1
40,25,49.14,1,3,0
54,13,49.26,1,2,0
54,53,38.46,1,0,1
27,34,52.28,1,2,0
27,8,109.71,2,1,1
36,21,135.8,1,4,1
34,34,127.7,2,0,1
38,4,112.22,2,0,1
31,25,43.25,1,4,0
26,15,64.7,3,0,0
63,4,67.18,1,4,0
18,45,59.99,0,0,0
68,12,91.8,1,2,0
62,32,94.27,0,0,0
30,32,72.83,1,3,0
21,28,72.45,1,4,0
18,13,129.43,0,0,0
66,31,124.72,0,4,0
57,14,66.94,1,3,0
49,20,139.65,1,0,0
51,18,144.34,1,0,0
45,29,69.21,1,3,0
48,6,72.53,1,3,0
25,32,90.68,2,3,0
56,29,142.93,2,4,0
43,43,135.16,1,3,0
51,2,42.31,2,4,1
20,23,77.13,3,2,0
67,19,96.4,2,0,0
29,31,90.38,2,0,1
18,51,53.26,2,1,1
61,5,133.06,1,2,1
22,19,111.23,1,3,0
47,34,130.55,0,3,0
47,10,133.05,2,2,1
34,25,119.8,0,3,0
65,2,82.71,0,1,0
64,11,103.27,1,4,1
40,50,49.24,0,0,1
32,31,110.84,1,2,0
54,56,51.51,0,0,0
38,15,113.27,0,4,0
31,9,57.55,1,2,1
19,23,44.11,0,4,0
28,19,49.83,2,3,0
68,9,30.24,0,3,1
56,35,116.25,0,3,1
55,21,117.89,1,4,0
51,9,91.79,0,4,0
55,28,49.36,1,4,0
67,46,40.03,1,0,0
51,51,32.3,0,4,0
35,7,49.89,1,3,0
47,16,136.9,1,1,0
32,16,58.98,1,4,0
44,33,72.51,1,1,0
68,4,42.64,1,3,1
51,4,56.68,1,4,1
69,39,92.31,0,0,0
55,40,102.93,1,0,0
50,17,59.44,0,1,0
41,37,36.93,2,0,0
32,39,76.92,2,0,0
47,52,58.1,3,0,0
59,29,56.35,1,3,0
68,52,145.18,0,0,0
34,36,103.96,0,2,0
22,38,96.83,3,4,0
46,39,79.89,0,0,1
21,50,81.47,0,0,0
27,37,94.91,0,0,0
34,52,113.57,1,2,0
27,35,114.26,1,0,0
34,7,50.6,0,0,0
37,27,90.01,0,4,0
41,28,79.43,2,2,0
22,22,134.46,2,2,0
51,14,105.77,0,0,0
23,7,93.9,2,2,1
19,37,43.85,1,1,0
30,22,102.68,2,2,1
60,5,44.06,1,2,0
60,55,70.46,0,2,0
65,2,47.14,0,3,1
28,27,113.05,0,3,0
68,21,54.75,2,3,1
64,54,77.02,1,2,1
40,38,137.48,0,1,0
33,15,54.52,0,2,0
48,21,90.94,1,0,0
28,10,80.31,1,1,0
33,23,32.17,1,3,0
25,58,125.13,0,4,0
21,56,38.29,0,1,0
57,39,86.91,1,3,0
21,5,97.28,2,1,1
42,1,105.41,1,1,0
20,13,112.64,0,2,1
49,21,60.39,0,0,0
20,26,31.2,1,4,0
44,50,116.81,0,3,0
46,45,94.28,1,1,0
49,21,130.33,2,4,1
67,53,128.57,0,1,0
68,18,131.2,0,0,0
36,37,88.21,2,4,1
38,45,70.04,2,3,0
22,32,124.99,0,1,0
35,36,84.16,1,0,0
45,17,52.01,0,4,0
59,35,132.6,1,1,0
39,49,135.91,2,1,1
38,11,85.96,1,3,0
23,21,39.08,0,0,0
18,52,76.54,1,2,0
22,55,126.42,1,1,0
58,53,138.21,1,4,1
29,26,54.42,2,3,0
43,4,38.04,0,3,0
63,34,135.28,1,1,1
51,52,76.73,2,1,1
66,48,95.01,0,1,0
31,18,146.17,0,2,0
43,40,37.99,1,1,0
62,35,107.8,2,0,1
44,41,38.89,2,4,0
26,29,75.06,0,1,0
43,52,126.46,1,2,0
64,29,82.02,2,4,1
39,38,149.66,2,3,1
64,42,97.09,2,1,1
47,21,68.54,1,4,0
60,42,56.41,2,3,0
65,13,72.06,1,2,0
34,49,74.7,0,0,0
43,41,38.25,0,1,0
53,17,74.35,1,0,0
18,56,85.71,2,2,0
25,9,116.73,0,4,0
66,41,108.81,0,4,0
52,1,115.05,1,2,1
69,2,31.0,4,2,1
32,48,56.12,0,1,0
64,29,109.4,1,3,0
39,33,88.08,1,0,0
31,10,30.64,1,0,1
43,50,126.54,1,4,0
45,58,122.74,0,4,0
40,40,95.81,1,1,0
31,21,37.98,2,2,0
41,28,121.98,1,0,0
19,11,100.05,2,1,1
62,55,123.84,2,4,1
43,34,120.21,2,4,1
31,8,126.36,2,0,1
68,59,92.16,0,4,0
24,22,46.84,1,4,0
20,8,110.54,1,3,1
64,49,104.46,2,2,1
40,15,119.07,1,4,0
